Source Account,Tweet,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@CBSNews,Trump threatens to hold up South Korea trade agreement until North Korea talks https://t.co/pR3oqANNlb https://t.co/q7fyj7PRmD,Fri Mar 30 04:48:03 +0000 2018,0.1531,0.17,0.691,0.138,30
@CBSNews,Mom shifted blame for deaths of children found in car seats https://t.co/N8ZEOslDFS https://t.co/5SpyM1DYF0,Fri Mar 30 04:38:18 +0000 2018,-0.34,0.0,0.833,0.167,31
@CBSNews,"Off-duty officer shot in Kentucky, suspect on the run, mayor says https://t.co/WT5ioYU600 https://t.co/ztNjW4NRgM",Fri Mar 30 04:30:12 +0000 2018,-0.296,0.0,0.845,0.155,32
@CBSNews,ICE ends automatic release of most pregnant detainees https://t.co/wzMGoFmyH9 https://t.co/UVA2BeXtKO,Fri Mar 30 04:24:05 +0000 2018,0.0,0.0,1.0,0.0,33
@CBSNews,Youth from famed photo believed among dead as SUV flies off cliff https://t.co/eLmkkaEdxk https://t.co/nwtd6DTtVs,Fri Mar 30 04:18:03 +0000 2018,-0.6486,0.0,0.751,0.249,34
@CBSNews,Father who left toddler son to die after crash guilty of murder https://t.co/8BmYUNBvH1 https://t.co/QdzTckOePh,Fri Mar 30 04:03:05 +0000 2018,-0.9337,0.0,0.415,0.585,35
@CBSNews,Neighbors say they reported parents before deadly plunge off California cliff https://t.co/g80IallJEP https://t.co/ZuDB1N9Iok,Fri Mar 30 03:48:03 +0000 2018,0.0,0.0,1.0,0.0,36
@CBSNews,Laura Ingraham's advertisers distance themselves after David Hogg comments https://t.co/XwoeLUtDEX https://t.co/OY1VA13vFx,Fri Mar 30 03:39:23 +0000 2018,0.0,0.0,1.0,0.0,37
@CBSNews,Delta landing gear catches fire shortly after landing in Atlanta https://t.co/ZJLmFH7rCm https://t.co/LU7DZVtY8K,Fri Mar 30 03:32:06 +0000 2018,-0.34,0.0,0.821,0.179,38
@CBSNews,Does the post office lose money on Amazon? https://t.co/vVTgJU5pGf https://t.co/RF3YoFJ9WQ,Fri Mar 30 03:18:03 +0000 2018,-0.25,0.137,0.645,0.218,39
@CBSNews,2016 Facebook memo suggests company values growth over user safety https://t.co/5t60sX0Lew https://t.co/zqJj6hGh5k,Fri Mar 30 03:10:04 +0000 2018,0.7964,0.474,0.526,0.0,40
@CBSNews,"""Don't make me go back"": Troubling allegations emerge after family's SUV cliff plunge https://t.co/CvFTYkmpoG https://t.co/LEgqSDBdzt",Fri Mar 30 03:03:04 +0000 2018,-0.5423,0.0,0.8,0.2,41
@CBSNews,Scar tissue found in the brains of combat veterans who suffered from PTSD could mean that many cases of the disorde… https://t.co/HGnxHrk4MD,Fri Mar 30 02:40:01 +0000 2018,-0.6808,0.0,0.781,0.219,42
